ticker,name,start_date,end_date,add_reason,remove_reason,source,cik
ESRX,Express Scripts Holding Co,2001-12-24,2018-12-24,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
EXC,Exelon,2019-11-21,,Annual Re-ranking,,fmp:nasdaq100,0001109357
EXPD,Expeditors Int'l of Washington Inc,2002-12-23,2015-12-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
EXPE,Expedia Inc,2005-12-19,2014-12-22,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
EXPE,Expedia Inc,2015-12-21,2020-12-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
FANG,Diamondback Energy,2022-12-19,,Annual Re-ranking,,fmp:nasdaq100,0001539838
FAST,Fastenal,2002-12-23,,Annual Re-ranking,,fmp:nasdaq100,0000815556
FER,Ferrovial SE,2025-12-21,,Annual Re-ranking,,fmp:nasdaq100,0001468522
FFIV,F5 Networks Inc,2011-04-04,2014-12-22,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
FHCC,First Health Group Corp,2002-12-23,2004-12-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
FISV,Fiserv Inc,1996-12-23,2023-06-07,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
FLEX,Flex Ltd,2000-12-18,2012-12-24,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
FLIR,FLIR Systems Inc,2008-07-21,2011-12-19,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
FMCN,Focus Media Holding,2007-12-24,2009-01-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
FOSL,Fossil Group,2011-12-19,2013-12-23,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
FOX,Fox Corp,2014-12-22,2021-12-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
FOXA,21st Century Fox Class A,2009-01-20,2021-12-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
FSLR,First Solar Inc,2008-12-22,2012-04-23,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
FTNT,Fortinet,2021-12-20,,Annual Re-ranking,,fmp:nasdaq100,0001262039
FWLT,Foster Wheeler AG,2007-07-12,2010-12-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
GEHC,GE HealthCare,2023-06-07,,Annual Re-ranking,,fmp:nasdaq100,0001932393
GENZ,Genzyme Corp,1985-01-29,2011-05-06,,Annual Re-ranking,fmp:nasdaq100,
GFS,GlobalFoundries Inc,2022-12-19,2025-12-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
GILD,Gilead Sciences,2001-10-05,,Annual Re-ranking,,fmp:nasdaq100,0000882095
GMCR,Keurig Green Mountain Inc,2011-05-27,2012-12-24,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
GMCR,Keurig Green Mountain Inc,2013-08-22,2015-12-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
GNTX,Gentex Corp,2002-12-23,2004-12-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
GOLD,Randgold Resources,2011-12-19,2013-11-18,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
GOOG,Alphabet Inc. (Class C),2014-04-03,,Annual Re-ranking,,fmp:nasdaq100,0001652044
GOOGL,Alphabet Inc. (Class A),2005-12-19,,Annual Re-ranking,,fmp:nasdaq100,0001652044
GRMN,Garmin Ltd,2003-12-22,2015-12-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
HAS,Hasbro Inc,2016-12-09,2019-12-23,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
